Rank,Sourceid,Title,Type,Issn,SJR,SJR Quartile,H index,Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Region,Publisher,Coverage,Categories,Year
1,12872,Cognitive Psychology,journal,"10955623, 00100285",3.109,Q1,123,63,1294,276,63,3.61,76.12,United States,Northern America,Academic Press Inc.,1970-2021,Artificial Intelligence (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1),2000
2,22478,Journal of Memory and Language,journal,"10960821, 0749596X",2.933,Q1,156,160,2830,475,160,2.72,47.17,United States,Northern America,Academic Press Inc.,1985-2021,Artificial Intelligence (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1),2000
3,24254,IEEE Transactions on Pattern Analysis and Machine Intelligence,journal,01628828,1.698,Q1,377,427,4176,1752,427,3.36,32.63,United States,Northern America,IEEE Computer Society,1978-2021,Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1),2000
4,24157,Autonomous Agents and Multi-Agent Systems,journal,"15737454, 13872532",1.679,Q1,72,25,601,94,25,3.76,42.93,Netherlands,Western Europe,Springer Netherlands,1998-2021,Artificial Intelligence (Q1),2000
5,24242,IEEE Transactions on Fuzzy Systems,journal,10636706,1.582,Q1,202,180,1748,388,175,1.96,24.28,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,1993-2021,Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Control and Systems Engineering (Q1),2000
6,23127,Journal of the ACM,journal,"00045411, 1557735X",1.287,Q1,131,95,1222,240,94,2.56,34.91,United States,Northern America,Association for Computing Machinery (ACM),1954-2021,Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1),2000
7,18050,International Journal of Robotics Research,journal,"02783649, 17413176",1.192,Q1,170,260,2061,331,258,1.27,28.63,United States,Northern America,SAGE Publications Inc.,1982-2021,Applied Mathematics (Q1); Artificial Intelligence (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Software (Q1),2000
8,12874,Cognitive Science,journal,"03640213, 15516709",1.09,Q1,120,49,1458,104,49,1.69,72.9,United States,Northern America,Wiley-Blackwell,1977-2021,Artificial Intelligence (Q1); Cognitive Neuroscience (Q2); Experimental and Cognitive Psychology (Q2),2000
9,72242,International Journal of Computer Vision,journal,"09205691, 15731405",1.05,Q1,201,178,2306,542,178,2.72,36.03,Netherlands,Western Europe,Springer Netherlands,1987-2021,Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1),2000
10,23675,Artificial Intelligence,journal,00043702,1.018,Q1,155,258,3391,615,257,1.94,45.82,Netherlands,Western Europe,Elsevier,1970-2022,Artificial Intelligence (Q1); Linguistics and Language (Q1),2000
11,26801,Computational Linguistics,journal,"08912017, 15309312",0.996,Q1,103,63,815,179,63,2.68,40.75,United States,Northern America,MIT Press Journals,"1985, 1996-2021",Artificial Intelligence (Q1); Computer Science Applications (Q1); Linguistics and Language (Q1),2000
13,18016,Autonomous Robots,journal,"15737527, 09295593",0.889,Q1,117,82,1434,133,82,1.19,35.85,Netherlands,Western Europe,Springer Netherlands,1994-2021,Artificial Intelligence (Q1),2000
14,21100235616,IEEE Transactions on Neural Networks and Learning Systems,journal,"2162237X, 21622388",0.844,Q1,221,455,3690,765,445,1.23,25.63,United States,Northern America,IEEE Computational Intelligence Society,2012-2021,Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Software (Q1),2000
15,24140,Artificial Intelligence in Medicine,journal,"09333657, 18732860",0.809,Q1,93,130,1246,238,120,1.8,31.15,Netherlands,Western Europe,Elsevier,1989-2021,Artificial Intelligence (Q1); Medicine (miscellaneous) (Q1),2000
16,24330,Journal of Artificial Intelligence Research,journal,10769757,0.787,Q1,123,56,784,138,56,2.23,39.2,United States,Northern America,"Morgan Kaufmann Publishers, Inc.","1993, 1996-2021",Artificial Intelligence (Q1),2000
17,12409,Multidimensional Systems and Signal Processing,journal,"15730824, 09236082",0.722,Q1,41,73,378,43,73,0.58,23.63,Netherlands,Western Europe,Springer Netherlands,1990-2021,Artificial Intelligence (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Signal Processing (Q1); Software (Q1); Applied Mathematics (Q2),2000
18,12795,Perception,journal,"14684233, 03010066",0.706,Q1,94,354,3433,328,319,0.77,28.85,United States,Northern America,SAGE Publications Inc.,1972-2021,Artificial Intelligence (Q1); Ophthalmology (Q1); Sensory Systems (Q2); Experimental and Cognitive Psychology (Q3),2000
19,15435,Journal of Consciousness Studies,journal,"20512201, 13558250",0.696,Q1,67,174,1225,90,174,0.48,21.88,United Kingdom,Western Europe,Imprint Academic,1996-2021,"Artificial Intelligence (Q1); Philosophy (Q1); Psychology (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q2)",2000
20,24775,Machine Learning,journal,"15730565, 08856125",0.68,Q1,153,129,1654,277,128,1.91,38.47,Netherlands,Western Europe,Springer Netherlands,1986-2021,Artificial Intelligence (Q1); Software (Q1),2000
21,24354,Journal of Automated Reasoning,journal,"15730670, 01687433",0.675,Q1,56,98,967,99,98,0.91,37.19,Netherlands,Western Europe,Springer Netherlands,1985-2021,Artificial Intelligence (Q1); Software (Q1); Computational Theory and Mathematics (Q2),2000
22,24823,Pattern Recognition,journal,00313203,0.658,Q1,218,489,3645,800,488,1.65,22.64,United Kingdom,Western Europe,Elsevier Ltd.,1968-2022,Artificial Intelligence (Q1); Software (Q1); Computer Vision and Pattern Recognition (Q2); Signal Processing (Q2),2000
23,23629,AI Magazine,journal,07384602,0.632,Q1,79,107,439,207,107,1.54,15.68,United States,Northern America,AI Access Foundation,"1984-1986, 1989-2020",Artificial Intelligence (Q1),2000
24,24142,Artificial Life,journal,"10645462, 15309185",0.619,Q1,57,55,558,72,54,1.37,26.57,United States,Northern America,MIT Press Journals,"1995, 1997-2021","Artificial Intelligence (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2)",2000
26,24141,Artificial Intelligence Review,journal,"02692821, 15737462",0.612,Q2,86,53,684,84,53,0.65,31.09,Netherlands,Western Europe,Springer Netherlands,1986-2021,Linguistics and Language (Q1); Artificial Intelligence (Q2),2000
27,24361,Journal of Intelligent Information Systems,journal,"15737675, 09259902",0.586,Q2,57,67,625,102,67,1.31,25.0,Netherlands,Western Europe,Springer Netherlands,1992-2021,Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Software (Q1); Artificial Intelligence (Q2); Information Systems (Q2),2000
28,110111,IEEE Intelligent Systems,journal,15411672,0.584,Q2,129,249,665,311,244,1.22,8.99,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2001-2021,Computer Networks and Communications (Q1); Artificial Intelligence (Q2),2000
30,24358,Journal of Heuristics,journal,"13811231, 15729397",0.534,Q2,67,66,548,49,66,0.89,21.08,Netherlands,Western Europe,Springer Netherlands,1995-2021,Computer Networks and Communications (Q1); Artificial Intelligence (Q2); Information Systems (Q2); Management Science and Operations Research (Q2); Software (Q2); Control and Optimization (Q3),2000
31,24774,Knowledge Engineering Review,journal,"14698005, 02698889",0.532,Q2,64,68,976,108,67,1.82,42.43,United Kingdom,Western Europe,Cambridge University Press,"1984, 1987-2021",Artificial Intelligence (Q2); Software (Q2),2000
32,23635,Adaptive Behavior,journal,"17412633, 10597123",0.531,-,54,50,634,58,46,0.7,42.27,United Kingdom,Western Europe,SAGE Publications Ltd,1992-2021,Experimental and Cognitive Psychology (Q3); Behavioral Neuroscience (Q4),2000
33,24305,International Journal of Intelligent Systems,journal,"1098111X, 08848173",0.525,Q2,92,174,1400,112,174,0.6,22.95,United Kingdom,Western Europe,John Wiley and Sons Ltd,1986-2021,Human-Computer Interaction (Q1); Artificial Intelligence (Q2); Software (Q2); Theoretical Computer Science (Q2),2000
34,21100285028,IEEE Transactions on Human-Machine Systems,journal,21682291,0.509,Q2,127,106,1720,119,106,1.12,29.66,United States,Northern America,"IEEE Systems, Man, and Cybernetics Society",2013-2021,Human Factors and Ergonomics (Q1); Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Control and Systems Engineering (Q2); Human-Computer Interaction (Q2); Signal Processing (Q2),2000
35,19294,Journal of Scheduling,journal,10946136,0.491,Q2,64,28,541,24,28,0.86,24.59,United States,Northern America,Springer New York,1998-2021,Engineering (miscellaneous) (Q1); Artificial Intelligence (Q2); Management Science and Operations Research (Q2); Software (Q2),2000
37,24804,Neural Networks,journal,"08936080, 18792782",0.474,Q2,154,367,2933,484,362,1.25,33.33,United Kingdom,Western Europe,Elsevier Ltd.,1988-2021,Artificial Intelligence (Q2); Cognitive Neuroscience (Q4),2000
38,24185,Expert Systems,journal,"14680394, 02664720",0.449,Q2,41,46,507,16,46,0.15,28.17,United Kingdom,Western Europe,Wiley-Blackwell Publishing Ltd,1984-2021,Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Theoretical Computer Science (Q2); Computational Theory and Mathematics (Q3),2000
